year,Hokage,Itachi,Hinata,Jiraiya,Gaara,Sakura,Shikamaru,Minato,,,,
1949,860,7,19714,20000,28673,8852,52708,46295,,,,
1948,960,11,2000,4000,5000,8978,99680,51274,,,,
1947,306,13,16622,39620,25328,8305,40000,46135,,,,
1946,333,11,14946,1234,5623,7709,91010,46337,,,,
1945,379,15,16250,29073,9555,7060,40000,47952,,,,
1944,409,15,10000,1000,9082,6945,73947,56433,,,,
1943,418,24,12286,20000,8608,6470,67092,53090,,,,
1942,428,15,11186,30000,8154,6120,61264,51007,,,,
1941,428,21,9853,20000,7791,5940,55371,49133,,,,176
1940,452,8,8675,52314,7241,5596,51279,46210,,,,192
1939,2470,25,6279,47829,6862,5279,48067,43332,,,,185
1938,5838,27,4984,40065,6401,5015,44495,39277,,,,218
1937,11246,38,4345,32936,5539,4763,41898,37932,,,,223
1936,19208,37,3415,29552,5238,4378,40409,35221,,,,295
1935,29073,57,2994,25269,5077,4069,37314,32107,,,,284
1934,42045,80,2677,24092,4726,3855,35574,28867,,,,238
1933,49809,95,2479,22893,4075,3587,31462,26538,,,,280
1932,52196,108,2181,21062,3791,3340,27715,25363,,,,274
1931,54674,180,1938,19306,3535,3095,23633,26087,,,,310
1930,52314,218,1905,17083,2960,2804,19339,23551,,,,306
1929,47829,263,1842,16250,2667,2449,15560,20115,,,,333
1928,40065,386,1605,14007,2316,2153,13199,17746,,,,379
1927,32936,1468,395,12286,2084,1881,11368,15806,,,,409
1926,29552,1401,399,11186,1778,1857,10248,14957,,,,418
1925,25269,1284,406,9853,1802,1715,8734,13404,,,,428
1924,24092,1842,407,8675,1626,1441,7379,11466,,,,428
1923,22893,1605,435,6279,1277,1245,5746,9602,,,,452
1922,21062,1905,502,4984,1175,1133,4735,8477,,,,643
1921,19306,1938,503,4345,1100,1140,4085,8040,,,,
1920,4345,2181,563,3415,975,1057,3525,7056,,,,
1919,3415,2479,635,2994,983,942,3141,6017,,,,
1918,2994,2994,658,2677,934,992,2909,5907,,,,
1917,2677,2677,662,2479,4450,922,2936,5498,,,,
1916,2479,3415,711,2181,7296,879,2739,34847,,,,
1915,2181,4345,715,1938,8877,909,2805,30278,,,,
1914,1938,4984,807,1905,14851,896,2730,26603,,,,
1913,1905,6279,908,1842,30278,875,2787,23676,,,,
1912,1842,8675,1021,1605,33290,844,2473,20895,,,,
1911,1605,9853,1130,1468,34847,859,2334,19871,,,,
1910,1468,16250,1284,1401,38452,809,2113,18132,,,,
1909,1401,11186,1323,1284,38759,766,1951,17997,,,,
1908,1284,12286,1366,1203,43482,815,1929,16524,,,,
1907,1203,643,1401,1056,45553,176,1844,15339,,,,
1906,1056,544,1468,1076,47007,192,1844,14512,,,,
1905,1076,14007,1763,1094,47585,185,1658,14370,,,,
1904,1094,43482,345,1014,49674,218,1608,13270,,,,
1903,1014,38452,296,919,49963,223,1580,12340,,,,
1902,919,34847,292,797,54845,295,1487,11423,,,,
1901,18715,30278,275,740,26603,284,1281,9402,,,,
1900,16345,26603,234,660,23676,238,1233,2160,,,,
1899,13973,23676,217,633,20895,280,987,1970,,,,
1898,12239,20895,189,638,19871,274,1095,1781,,,,
1897,10908,19871,194,553,18132,310,970,1704,,,,
1896,9741,18132,182,524,335,306,898,1532,,,,
1895,8550,17997,174,545,312,333,849,1392,,,,
1894,6963,16524,153,489,317,379,837,1223,,,,
1893,6132,15339,127,474,263,409,769,1113,,,,
1892,5339,14512,142,421,291,418,739,1011,,,,
1891,4677,14370,136,427,288,428,727,997,,,,
1890,4088,13270,132,425,234,428,745,877,,,,
1889,3355,12340,135,423,265,452,698,775,,,,
1888,3038,11423,134,371,262,643,659,725,,,,
1887,2439,9402,137,355,242,884,611,629,,,,
1886,1952,7811,148,346,226,826,550,564,,,,
1885,1655,6306,132,354,240,703,476,479,,,,
1884,1409,5398,167,332,276,729,488,427,,,,
1883,1228,4696,140,336,277,772,448,394,,,,
1882,1064,3936,174,329,334,738,441,419,,,,
1881,1048,3547,193,369,382,801,470,377,,,,
1880,1013,3409,186,346,395,757,423,346,,,,
